# 2019-12-17 Start
2019-12-18 AMR
2019-12-18 SUPCAA
# 2019-12-23 Twitter didn't how CAA tags as trending
2019-12-23 AGGCAA
Wed Jan 22 10:40:16 2020 all ['#LEFTIST_ARE_TERRORISTS', '#LeftAttacksJNU', '#ShutDownJNU#LeftKillingJNU', '#IndiaSupportsCAA', '#CAASupport', '#TukdeGangSpotted', '#JNUattack', '#ABVP_TERRORISTS', '#JNUTerrorAttack', '#IndiaAgainstCAA', '#CAA_NRC']
Wed Jan 22 20:01:17 2020 verybig ['#IndiaSupportsCAA', '#CAASupport', '#IndiaAgainstCAA', '#IndiaAgainstCAA_NRC', '#ISupportCAA', '#CAA_NRC']
Wed Jan 22 20:01:17 2020 verybig ['#IndiaSupportsCAA', '#CAASupport', '#IndiaAgainstCAA', '#IndiaAgainstCAA_NRC', '#ISupportCAA', '#CAA_NRC']
Wed Jan 22 20:01:18 2020 verybig ['#IndiaSupportsCAA', '#CAASupport', '#IndiaAgainstCAA', '#IndiaAgainstCAA_NRC', '#ISupportCAA', '#CAA_NRC']
Wed Jan 22 20:01:19 2020 verybig ['#IndiaSupportsCAA', '#CAASupport', '#IndiaAgainstCAA', '#IndiaAgainstCAA_NRC', '#ISupportCAA', '#CAA_NRC']
Wed Jan 22 20:11:19 2020 verybig ['#IndiaSupportsCAA', '#CAASupport', '#IndiaAgainstCAA', '#IndiaAgainstCAA_NRC', '#ISupportCAA', '#CAA_NRC']
Wed Jan 22 20:11:39 2020 verybig ['#IndiaSupportsCAA', '#CAASupport', '#IndiaAgainstCAA', '#IndiaAgainstCAA_NRC', '#ISupportCAA', '#CAA_NRC']
Wed Jan 22 20:11:57 2020 verybig ['#IndiaSupportsCAA', '#CAASupport', '#IndiaAgainstCAA', '#IndiaAgainstCAA_NRC', '#ISupportCAA', '#CAA_NRC']
Wed Jan 22 20:12:16 2020 verybig ['#IndiaSupportsCAA', '#CAASupport', '#IndiaAgainstCAA', '#IndiaAgainstCAA_NRC', '#ISupportCAA', '#CAA_NRC']
Wed Jan 22 20:22:18 2020 verybig ['#IndiaSupportsCAA', '#CAASupport', '#IndiaAgainstCAA', '#IndiaAgainstCAA_NRC', '#ISupportCAA', '#CAA_NRC']
Wed Jan 22 20:22:31 2020 verybig ['#IndiaSupportsCAA', '#CAASupport', '#IndiaAgainstCAA', '#IndiaAgainstCAA_NRC', '#ISupportCAA', '#CAA_NRC']
Wed Jan 22 20:22:42 2020 verybig ['#IndiaSupportsCAA', '#CAASupport', '#IndiaAgainstCAA', '#IndiaAgainstCAA_NRC', '#ISupportCAA', '#CAA_NRC']
