b'@SirrrJadeja Shame on you for sharing fake news he is killed by pro CAA protestor',b'1231937926575149058',b'Aimanuddin Ahmed',b'AhmedAimanuddin',b'India',b'',b'26',b'92',b'0',b'1492',b'3086',b'False',b'False',b'True',b'False',b'2019-05-20 08:28:49'
"b'#ShahMustResign\\nStop your Anti-social element rant.\\n\\nFirst tell us, why @KapilMishra_IND has not been arrested yet,\\u2026 https://t.co/ZgrYflqhTu'",b'1231937897445679105',b'Rajesh Mukarjee',b'mrmukarjee',b'India',b'\\u092a\\u094d\\u0930\\u0926\\u0947\\u0936 \\u092e\\u0939\\u093e\\u092e\\u0902\\u0924\\u094d\\u0930\\u0940 \\u092a\\u094d\\u0930\\u092d\\u093e\\u0930\\u0940 \\u0905\\u0938\\u0902\\u0917\\u0920\\u093f\\u0924 \\u092e\\u091c\\u0926\\u0942\\u0930 \\u0915\\u093e\\u0902\\u0917\\u094d\\u0930\\u0947\\u0938 \\u091b\\u0924\\u094d\\u0924\\u0940\\u0938\\u0917\\u0922\\u093c\\n \\u092a\\u094d\\u0930\\u0926\\u0947\\u0936 \\u092e\\u0939\\u093e\\u0938\\u091a\\u093f\\u0935 \\u0930\\u093e\\u0937\\u094d\\u091f\\u094d\\u0930\\u0940\\u092f \\u092e\\u091c\\u0926\\u0942\\u0930 \\u0915\\u093e\\u0902\\u0917\\u094d\\u0930\\u0947\\u0938 \\u091b\\u0924\\u094d\\u0924\\u0940\\u0938\\u0917\\u0922\\u093c',b'7472',b'1236',b'1',b'15256',b'7494',b'False',b'False',b'True',b'False',b'2019-10-20 10:16:24'
b'Congress leader Rahul Gandhi condemns the violence in Delhi and urges residents to show restraint. https://t.co/uo0rp638pk',b'1231937795767144449',b'scroll.in',b'scroll_in',b'',"b""India's leading independent source of news, analysis and culture.""",b'303187',b'88',b'1518',b'284347',b'181',b'True',b'False',b'False',b'False',b'2011-11-17 18:03:25'
b'A Hindustan Times journalist tweets a video of a gathering where \\u201cJai Shri Ram\\u201d slogans are being chanted. He repor\\u2026 https://t.co/16HmP3uQ9Y',b'1231937793107976192',b'scroll.in',b'scroll_in',b'',"b""India's leading independent source of news, analysis and culture.""",b'303187',b'88',b'1518',b'284347',b'181',b'True',b'False',b'False',b'False',b'2011-11-17 18:03:25'
"b""@BDUTT Correction the clash is not between pro and Anti CAA.\\nIt's between Anti CAA and Anti blockades. Protest sepa\\u2026 https://t.co/4HMoaOj49M""",b'1231937665643139072',b'Vaibhav',b'Vaibhav02824150',b'',b'will speak my mind',b'5',b'87',b'0',b'1407',b'1227',b'False',b'True',b'True',b'False',b'2017-09-13 14:00:54'
b'@mans_patel @Iam_SyedIrfan @JasjeevSinghTOI @zoo_bear @TOIDelhi Agr proof hota hai unhone kiya to daal do jail mai\\u2026 https://t.co/DWUPFdczTv',b'1231937665563389952',b'The Drunken Dude',b'TheDrunkenDude',b'',"b'4 bottle vodka, kaam mere roj ka \\U0001f92b'",b'4',b'50',b'0',b'2158',b'355',b'False',b'False',b'True',b'False',b'2019-12-03 07:38:13'
b'@MrsGandhi correction srone pelted by pro caa protesters',b'1231937620407545857',b'Alt Chronicle',b'alt_chronicle',b'',b'FOLLOW ME ILL follow u back',b'14',b'38',b'0',b'975',b'3272',b'False',b'False',b'True',b'False',b'2018-06-23 16:50:36'
b'@UnSubtleDesi Libradu &amp; naxal gang already started to blame Pro CAA protester',b'1231937616104345607',b'Bharat Undhad',b'BharatUndhad',b'',b'hummmm',b'1',b'31',b'0',b'931',b'631',b'False',b'True',b'True',b'False',b'2013-09-20 14:20:50'
"b'A ""Mazar Or Dargah"" Set Ablaze By Pro CAA Supporters In Bhajanpura !\\n\\nOne Speech Was Given by @KapilMishra_IND &amp; An\\u2026 https://t.co/rjEX0WASBy'",b'1231937483954278401',b'Sanwar Ali',b'AdvSanwar',"b'Chandigarh, India'",b'Injustice Anywhere Is Threat To Justice Everywhere #Legisperitus #Constitutional Lawyer #Criminal Lawyer  #Punjab&Haryana High Court',b'6139',b'2462',b'34',b'33077',b'21457',b'False',b'False',b'True',b'False',b'2015-10-11 09:04:44'
b'Police busy with the #WarisPathan case!\\nLeader busy with visitors!\\nMedia busy with live events of visiting dignitar\\u2026 https://t.co/7SMG8lUe7w',b'1231937470914334720',b'Mohammed Khan',b'4minar1',b'',"b'What Islamic traits are the best? The Prophet (PBUH) said, Feed the people, and greet those whom you know and those whom you do not know. #Peace'",b'111',b'418',b'0',b'15497',b'36077',b'False',b'False',b'True',b'False',b'2017-03-04 16:43:55'
