"b'@JamaliNahela @13chronicler @sureshyadav44 @Santosh57324002 @jyotiyadaav 1946 Direct Action day, Hindu-Muslim bhai\\u2026 https://t.co/tClJh7l7Xh'",b'1232220428246097920',b'\\u0c05\\u0c2d\\u0c3f\\u0c37\\u0c47\\u0c15\\u0c4d \\u0c30\\u0c3e\\u0c2f\\u0c4d = \\u0905\\u092d\\u093f\\u0937\\u0947\\u0915 \\u0930\\u093e\\u092f= ABHISHEK RAI',b'ABHISHEK_RAI07',"b'New Delhi, India'",b'Mechanical Engineer.',b'55',b'559',b'0',b'6817',b'2809',b'False',b'False',b'True',b'False',b'2019-10-13 14:58:29'
"b""@Vintagedrummer7 Macron's failure to act has reinforced no go muslim enclaves..this is a white flag to islam who ar\\u2026 https://t.co/8N44iFxNEE""",b'1232220424131399680',b'cjtjgeol',b'cjtjgeol',b'Earth',b'Geologist..love our planet..geological history brings perspective to the insanity of the climate cult..plants are starving at 400ppm CO2..its the Sun stupid \\U0001f60e',b'645',b'1429',b'3',b'6037',b'3673',b'False',b'True',b'True',b'False',b'2019-11-29 08:11:36'
b'@Javedakhtarjadu Varis Pathann ko Jail me daal do... But Mishra ka bhe kuch karo ? Pathan ke statement galat the to\\u2026 https://t.co/8c4o3sNff6',b'1232220421258276864',b'Naushad Farooqi',b'NaushadFarooqi',b'',b'',b'26',b'59',b'0',b'270',b'50',b'False',b'False',b'True',b'False',b'2015-07-20 04:34:56'
b'@Javedakhtarjadu Lol..Kapil Mishra k peeche chhipne wale terrorists..inka ye totla baap bhi inko bachane ki koshis\\u2026 https://t.co/VELq4EEcyO',b'1232220414245404672',b'Smi\\U0001f1ee\\U0001f1f3#IndiaSupportsCAA-NRC',b'smita_muk',"b'Bengal, Bharat '",b'\\U0001f64fVandemataram\\ntwps original-never copy/pasted| teacher|reiki healer|possess partial gyan of IndianLaw\\U0001f44dNo DM\\U0001f64f',b'6571',b'3153',b'39',b'146633',b'194252',b'False',b'False',b'True',b'False',b'2012-05-31 07:51:22'
b'Orang muslim selalu jadi incaran rezim komunis \\n\\n#SaveAdvokatPejuang \\n#HukumTajamKeMuslim \\n#KawalKetuaLBHPU',b'1232220410046894080',b'Lim Yoong',b'lim_yoong93',b'',b'modeling is my life',b'4',b'39',b'0',b'59',b'3',b'False',b'False',b'False',b'False',b'2014-03-26 03:46:21'
b'\\u201cMillions of Muslim pilgrims travel each year from around the region to visit Shiite holy sites in Iran and Iraq. I\\u2026 https://t.co/oVqkQ4Rdwn',b'1232220404762046465',b'Dr Kevin Purcell',b'kevinpurcell',"b'Seattle, WA, USA (mostly)'","b'Liverpool Surface Science PhD. Scientist, Programmer, QA. N7WIM. \\u2764\\ufe0f = \\u2b50\\ufe0f = interesting (or thanks) and RT = very interesting. Neither are endorsements.'",b'618',b'267',b'76',b'21998',b'19295',b'False',b'False',b'False',b'False',b'2008-04-21 18:39:50'
"b'Govt is against Muslims, Police is against Muslims, Goons against Muslims. The support from our Hindu, Sikh, Christ\\u2026 https://t.co/SseJCQv5lG'",b'1232220404644753408',b'Syed Naveed',b'Dr_SSNaveed',b'',b'',b'26',b'55',b'0',b'141',b'443',b'False',b'False',b'True',b'False',b'2015-12-24 05:26:15'
b'no sir. Hindus r being murdered and muslim terrorists throw him on street...allahu akbar shouted..y r u not condemn\\u2026 https://t.co/3Ck0MD6343',b'1232220401792512000',b'sadaadmi',b'farthepeople',b'',"b""Ask your MLA and MP  WHAT  have you   done to my village,NEXT gen..my .Farmer ..if he can't answer dont vote for his party.""",b'127',b'1074',b'2',b'34989',b'956',b'False',b'False',b'False',b'False',b'2011-04-07 18:27:39'
"b'@DrIanHall @ForthAsh Sir,they were Muslims in the beginning and after that when people called it muslim PROTESTs po\\u2026 https://t.co/BDpPZFuVQ7'",b'1232220387485708288',b'Sameer Vishwakarma',b'SameerVis',b'',b'',b'51',b'786',b'1',b'15004',b'28902',b'False',b'False',b'True',b'False',b'2015-06-30 16:47:44'
"b'During the shameful incidents of arson,rioting &amp; vandalism in certain areas of Delhi,how many Oppn party leaders,Mu\\u2026 https://t.co/v0LJo7yvyi'",b'1232220380107902981',b'bobby',b'bobby23020132',b'',b'',b'4',b'51',b'0',b'1429',b'990',b'False',b'False',b'True',b'False',b'2019-12-30 03:03:11'
b'@leo_edw Tadi  mau solat pas lagi main ke rumah tmn tapi tmn ku non muslim jd gaenk mau numpang :(',b'1232220375548719104',b'j\\U0001f451',b'jiminnnlovely',b'',b'vmin',b'1191',b'1460',b'0',b'3137',b'4870',b'False',b'False',b'True',b'False',b'2019-06-12 11:57:18'
b'Kami Bersamanya lebih dari seorang muslim sebab LBHPU setia membela agama dan para ulama.\\n &gt;&gt; #SaveAdvokatPejuang &lt;\\u2026 https://t.co/gfDwsjiIYZ',b'1232220371765456896',b'Gadis',b'Gtralali',b'Bumi Demokrasi',b'lalalalalili \\U0001f60a',b'105',b'196',b'0',b'1812',b'136',b'False',b'False',b'True',b'False',b'2016-02-19 23:16:32'
b'@swati_gs A Muslim sharukh cannot be RSS... Everyone know who are seating on dharna and police taking action against whom... @ihansraj',b'1232220368124948486',b'kn_warrior',b'kn_warrior25',b'',b'Ride to live',b'7',b'42',b'0',b'1003',b'1686',b'False',b'False',b'True',b'False',b'2018-06-22 18:54:57'
b'@RahulGandhi All is happening because muslim protesting without violence.',b'1232220365499371520',b'Amir Talukdar',b'AmirTalukdar10',b'',b'A true Indian.',b'1',b'51',b'0',b'12',b'33',b'False',b'False',b'True',b'False',b'2019-12-12 18:39:28'
"b'""Barangsiapa memelihara anjing selain anjing untuk berburu, menjaga ternak dan tanaman, maka pahalanya akan berkura\\u2026 https://t.co/vbyfsGCLQF'",b'1232220365184753665',b'Dini Fitri',b'DiniFit37614922',b'',b'\\U0001f4da \\u0645\\u062c\\u0644\\u0633 \\u0632\\u0647\\u0631\\u0629 \\u0627\\u0644\\u0628\\u0646\\u0627\\u062a \\U0001f4ff\\n\\u2026',b'6',b'59',b'0',b'524',b'309',b'False',b'False',b'True',b'False',b'2019-07-18 03:02:59'
